carID,brand,model,year,mileage,tax,mpg,engineSize,price,transmission,fuelType
14728,skoda, Yeti,2017,15000,125,51.4,1.2,13400,Semi-Auto,Petrol
18636,vw, Caddy Maxi Life,2019,1374,145,46.3,2,24295,Semi-Auto,Diesel
17353,vw, Arteon,2017,6502,145,47.1,2,22290,Semi-Auto,Petrol
18198,vauxhall, Combo Life,2019,805,145,42.2,1.2,16000,Manual,Petrol
16125,merc, CLA Class,2017,10626,145,53.3,1.6,17200,Automatic,Petrol
16182,vw, Scirocco,2014,43198,30,62.8,2,12000,Manual,Diesel
14106,ford, Mustang,2020,3500,145,22.1,5,42489,Automatic,Petrol
12516,skoda, Rapid,2017,55115,0,74.3,1.6,7450,Manual,Diesel
15589,vw, Arteon,2019,6183,145,50.4,2,23795,Semi-Auto,Diesel
17108,merc, X-CLASS,2018,9500,260,31.4,3,36790,Automatic,Diesel
15995,bmw, 6 Series,2015,22797,160,49.6,3,19199,Automatic,Diesel
17306,merc, S Class,2015,30782,20,64.2,2.1,27000,Automatic,Hybrid
15389,ford, Edge,2017,45386,160,48.7,2,17000,Manual,Diesel
17200,vw, Scirocco,2011,120000,125,57.6,2,5995,Semi-Auto,Diesel
16250,merc, GL Class,2015,54965,125,55.4,2.1,15599,Automatic,Diesel
17633,vw, Amarok,2017,22000,260,36.2,3,26000,Automatic,Diesel
12751,vw, Amarok,2018,23371,265,36.2,3,30995,Automatic,Diesel
16375,audi, SQ7,2017,12000,145,39.2,4,52888,Automatic,Diesel
14138,merc, M Class,2014,37986,300,39.2,3,20499,Automatic,Diesel
19006,ford, Grand C-MAX,2016,28772,30,64.2,1.5,9999,Manual,Diesel
13168,hyundi, Santa Fe,2009,95000,305,38.7,2.2,4495,Manual,Diesel
12962,hyundi, IX20,2017,12245,150,50.4,1.4,10000,Manual,Petrol
13937,toyota, Prius,2013,33905,0,70.6,1.8,11500,Automatic,Hybrid
14085,vauxhall, Combo Life,2018,10070,145,53.3,1.5,15979,Manual,Diesel
14766,bmw, i3,2016,25269,0,470.8,0.6,17100,Automatic,Other
14970,toyota, Avensis,2016,40312,200,46.3,1.6,10275,Manual,Diesel
18264,ford, Tourneo Custom,2016,62505,200,46.3,2,15298,Manual,Diesel
16053,bmw, M4,2020,101,145,34,3,51402,Semi-Auto,Petrol
14282,vw, California,2019,3544,260,29.1,2,69994,Semi-Auto,Diesel
17578,hyundi, I800,2018,33610,145,31.7,2.5,16459,Manual,Diesel
12959,vauxhall, Agila,2014,45400,20,60.1,1,3595,Manual,Petrol
14635,merc, M Class,2015,30657,200,39.2,2.1,23995,Semi-Auto,Diesel
15032,audi, A7,2017,24337,150,55.4,3,22999,Semi-Auto,Diesel
19005,hyundi, I800,2019,14674,145,31.7,2.5,18500,Manual,Diesel
13177,skoda, Scala,2020,1652,145,47.9,1.5,19952,Manual,Petrol
18255,vauxhall, Zafira Tourer,2016,44500,30,62.7,1.6,8850,Manual,Diesel
14720,ford, Mustang,2018,21632,145,35.3,2.3,25000,Manual,Petrol
17624,merc, CLA Class,2015,32895,20,67.3,2.1,16250,Automatic,Diesel
14174,ford, Galaxy,2017,36123,125,56.5,2,17958,Manual,Diesel
13816,vauxhall, Combo Life,2019,7821,145,53.3,1.5,16990,Manual,Diesel
19544,toyota, Prius,2013,68057,0,68.9,1.8,14498,Automatic,Hybrid
19165,toyota, Land Cruiser,2017,11356,145,38.2,2.8,37790,Automatic,Diesel
16138,bmw, 6 Series,2014,64215,160,49.6,3,17898,Semi-Auto,Diesel
